,name,price,purchase,weigth,long,width,depth,volume
353,Ноутбук MSI GE72 6QE Apache Pro,57674.13351498637,6.516666666666668,2.9,4.199,2.878,2.878,34.779829916
354,Ноутбук HUAWEI MateBook X Pro,138990.0,1.95,1.33,3.04,2.17,2.17,14.315056
355,Ноутбук ASUS VivoBook Max X541NA,19900.0,0.016666666666666666,2.0,3.8139999999999996,2.515,2.515,24.12440815
356,Ноутбук HP Envy 15-ds0000 x360,62768.0,5.35,2.05,3.59,2.46,2.46,21.725244
357,Ноутбук ASUS N552VX,59375.0,11.933333333333335,2.53,3.83,2.6,2.6,25.890800000000002
358,Ноутбук Acer Nitro 5 (AN515-52),72510.0,2.4,2.7,3.9,2.66,2.66,27.59484
359,Ноутбук DELL LATITUDE 5290,42850.0,0.3333333333333333,1.36,3.0515,2.113,2.113,13.624242603499999
360,Ноутбук Lenovo Legion Y530,60879.0,9.05,2.3,3.65,2.6,2.6,24.674000000000003
361,Ноутбук Digma CITI E202,11990.0,15.616666666666667,1.16,2.77,1.9,1.9,9.999699999999999
362,Ноутбук HP ProBook 430 G3,29097.0,0.5333333333333333,1.5,3.26,2.335,2.335,17.774253499999997
363,Ноутбук MSI GL63 9SEK,112929.0,2.9166666666666665,2.3,3.83,2.6,2.6,25.890800000000002
364,Ноутбук ASUS TUF Gaming FX705GM,91723.0,2.05,2.6,3.998,2.7939999999999996,2.7939999999999996,31.210131127999993
365,Ноутбук Digma CITI E600,12990.0,8.266666666666667,1.75,3.7,2.37,2.37,20.78253
366,Ноутбук Lenovo ThinkPad L390 Yoga,42200.0,0.016666666666666666,1.9462745098039216,,2.242,2.242,
367,Ноутбук DELL LATITUDE 5590,57300.0,0.4666666666666667,1.6,3.76,2.5065,2.5065,23.622358859999995
368,"Ноутбук HUAWEI MateBook D 15.6""",62990.0,0.05,1.9,3.58,2.39,2.39,20.449318
369,Ноутбук Acer Extensa EX2540,31500.0,3.033333333333333,2.4,3.818,2.58,2.58,25.414135200000004
370,Ноутбук DELL Vostro 1710,23263.0,10.85,2.9,3.93,2.86,2.86,32.145828
371,Ноутбук Lenovo ThinkPad T490,74991.0,0.4,1.46,3.29,2.27,2.27,16.953041
372,Ноутбук HP PAVILION 14-dh0000 x360,54985.0,2.2,1.9462745098039216,3.24,2.229,2.229,16.09774884
373,Ноутбук ASUS VivoBook Max X541NC,22150.0,9.066666666666666,2.0,3.8139999999999996,2.515,2.515,24.12440815
374,Ноутбук ASUS Zenbook BX433FN,69900.0,1.25,1.09,3.19,1.99,1.99,12.632719
375,Ноутбук ASUS FX553VE,65501.0,0.7166666666666667,1.9462745098039216,,,,
376,Ноутбук HP 250 G6,16745.0,5.35,1.86,3.8,2.5380000000000003,2.5380000000000003,24.477487200000006
377,Ноутбук Acer ASPIRE ES1-572,24460.0,6.2333333333333325,2.4,3.818,2.58,2.58,25.414135200000004
378,Ноутбук Lenovo V110 15 Intel,22501.0,0.016666666666666666,1.9,3.8,2.62,2.62,26.08472
379,Ноутбук Irbis NB133,57674.13351498637,6.783333333333332,1.33,3.2,2.14,2.14,14.654720000000003
380,Ноутбук Acer Nitro 5 (AN515-42),60452.0,1.4,2.7,3.9,2.66,2.66,27.59484
381,Ноутбук HP PAVILION 15-cc100,50690.0,3.65,1.9462745098039216,3.78,2.521,2.521,24.02356698
382,Ноутбук HP ProBook 440 G3,54000.0,6.616666666666666,1.68,3.392,2.44,2.44,20.194611199999997
383,Ноутбук ASUS ZenBook 13 UX333FA,52177.0,2.933333333333333,1.09,3.02,1.89,1.89,10.787742
384,Ноутбук Apple MacBook Pro 15 with Retina display Mid 2019,210990.0,4.016666666666667,1.83,3.4930000000000003,2.407,2.407,20.237215957000004
385,Ноутбук ASUS E203MA,57674.13351498637,0.016666666666666666,0.99,2.86,1.933,1.933,10.68635854
386,Ноутбук ASUS ROG Strix GL503VD,61065.0,0.7333333333333333,2.5,3.84,2.62,2.62,26.359296
387,Ноутбук ASUS VivoBook Flip 14 TP401CA,32770.0,0.8833333333333333,1.5,3.2739999999999996,2.265,2.265,16.79635665
388,Ноутбук Lenovo Ideapad 330 17 Intel,32635.0,3.95,2.8,4.18,2.926,2.926,35.78696968
389,Ноутбук ASUS ROG Strix SCAR II GL504GW,134990.0,0.85,2.4,3.61,2.62,2.62,24.780484
391,Ноутбук MSI GF62 7RE,57674.13351498637,2.5166666666666666,2.2,3.83,2.6,2.6,25.890800000000002
392,Ноутбук Lenovo THINKPAD X270,35590.0,0.43333333333333335,1.36,3.055,2.085,2.085,13.280772375
393,"Ноутбук Xiaomi Mi Notebook Air 12.5""",40500.0,4.2,1.07,2.92,2.02,2.02,11.914767999999999
394,Ноутбук Digma CITI E222,14240.0,9.8,1.13,2.77,1.88,1.88,9.790287999999999
395,Ноутбук HP 250 G5,57674.13351498637,16.316666666666666,1.96,3.843,2.546,2.546,24.910771787999995
396,Ноутбук ASUS VivoBook Pro 15 N580,57915.0,1.3833333333333333,1.99,3.8,2.56,2.56,24.90368
397,Ноутбук Lenovo ThinkPad 13 Ultrabook,57674.13351498637,0.016666666666666666,1.4,3.22,2.23,2.23,16.012738
398,Ноутбук MSI P75 Creator 9SD,130810.0,2.6,2.25,3.9610000000000003,2.595,2.595,26.673473025000007
399,Ноутбук ASUS Zenbook UX410UF,58297.0,0.9666666666666668,1.4,3.23,2.23,2.23,16.062466999999998
400,Ноутбук ASUS X554LJ,57674.13351498637,9.433333333333334,2.07,3.84,2.6,2.6,25.9584
401,Ноутбук DELL Vostro 3481,23280.0,0.6333333333333333,1.79,3.39,2.419,2.419,19.83679179
402,Ноутбук ASUS VivoBook 17 X705UB,30990.0,1.75,2.1,4.11,2.7,2.7,29.961900000000007
403,Ноутбук HP PAVILION 14-cd1000 x360,50000.0,5.883333333333334,1.9462745098039216,3.235,2.242,2.242,16.26093454
404,Ноутбук ASUS ROG G703GS,136214.0,0.016666666666666666,4.7,4.25,3.19,3.19,43.248425
405,Ноутбук Lenovo THINKPAD X1 Carbon Ultrabook (6th Gen),92900.0,2.6333333333333333,1.13,3.235,2.171,2.171,15.247334634999996
406,Ноутбук DELL INSPIRON 3567,33451.0,0.45,2.25,3.8,2.603,2.603,25.747314200000005
407,Ноутбук HP OMEN 17-an100,69485.0,1.15,1.9462745098039216,4.23,3.04,3.04,39.091968
408,Ноутбук Acer SWIFT 3 (SF314-54G),42629.0,1.0333333333333334,1.45,3.23,2.28,2.28,16.790831999999995
409,Ноутбук HP EliteBook 850 G5,62990.0,0.38333333333333336,1.9462745098039216,3.7,2.52,2.52,23.49648
410,Ноутбук Acer TRAVELMATE P238-M,45990.0,0.016666666666666666,1.6,3.27,2.28,2.28,16.998768
411,"Ноутбук Xiaomi Mi Notebook Air 13.3""",100.0,1.05,1.28,3.096,2.109,2.109,13.770639575999999
412,Ноутбук Alienware 15 R4,115764.0,0.4833333333333333,3.49,3.89,3.05,3.05,36.186724999999996
413,Ноутбук ASUS ZenBook 13 UX331FAL,56996.0,1.0166666666666666,0.99,3.1,2.16,2.16,14.463360000000002
414,Ноутбук MSI GL63 8RD,61650.0,2.466666666666667,2.2,3.83,2.6,2.6,25.890800000000002
415,Ноутбук ASUS ROG Strix SCAR II GL504GS,132001.0,0.03333333333333333,2.4,3.61,2.62,2.62,24.780484
416,Ноутбук Acer Spin 3 (SP314-51),51590.0,0.7833333333333333,1.7,3.35,2.3,2.3,17.721499999999995
417,Ноутбук HP 17-ca1000,29815.0,0.5833333333333334,1.9462745098039216,4.148,2.722,2.722,30.733710031999998
418,Ноутбук Fujitsu LIFEBOOK U938,132750.0,10.1,0.92,3.093,2.135,2.135,14.098589924999997
419,Ноутбук DELL INSPIRON 5570,37790.0,3.45,1.9462745098039216,3.8,2.58,2.58,25.294320000000003
420,Ноутбук KREZ N1404B Travel PRO,57674.13351498637,2.783333333333333,1.12,3.6,2.5,2.5,22.5
421,Ноутбук Lenovo V130 14,19370.0,0.3666666666666665,1.55,3.43,2.47,2.47,20.926087000000003
422,Ноутбук DELL Vostro 3578,29545.0,13.416666666666664,2.18,3.8,2.6,2.6,25.688
423,Ноутбук HP 17-bs000,24090.0,6.066666666666666,1.9462745098039216,4.15,2.78,2.78,32.07286
424,Ноутбук Apple MacBook Air 13 Mid 2017,56790.0,11.716666666666667,1.35,3.25,2.27,2.27,16.746925
